rollout_id,run_id,model_variant,quantization_backend,quantization_method,language_model_loaded_in_8bit,task_index,task_name,task_instruction,trial_index,initial_state_id,rollout_seed,success,timeout,termination_reason,episode_steps,steps_to_success,episode_time_seconds,inference_calls,actions_generated,actions_executed,replan_count,avg_inference_latency_ms,p95_inference_latency_ms,avg_amortized_inference_ms_per_action,avg_environment_step_latency_ms,p95_environment_step_latency_ms,avg_end_to_end_latency_ms,p95_end_to_end_latency_ms,avg_amortized_end_to_end_ms_per_action,control_frequency_hz,peak_vram_allocated_gb,peak_vram_reserved_gb,invalid_action_count,zero_equivalent_arm_action_count,zero_equivalent_full_noop_count,repeated_action_count,repeated_chunk_count,max_consecutive_zero_equivalent_actions,max_consecutive_repeated_chunks,collapse_warning_count,automatic_failure_reason,failure_detail,manual_failure_reason,manual_failure_note,video_path,started_at,finished_at
task_00_trial_000,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,0,0,42,True,False,success,264,264,15.172324,33,264,264,32,217.21001906376895,205.3254809230566,27.15125238297112,20.007612035525117,26.73920700326562,411.370449276133,418.3648996055126,51.421306159516625,19.44719173211683,9.248741149902344,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_000.mp4,2026-07-28T20:01:55.566690+00:00,2026-07-28T20:02:10.739707+00:00
task_00_trial_001,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,1,1,43,True,False,success,251,251,14.011543,32,256,251,31,199.1435681702569,206.54763588681817,25.388821440032753,19.980688798296974,28.227267786860466,388.121692056302,445.2826884575188,49.481649983273556,20.20951201784971,9.248741626739502,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_001.mp4,2026-07-28T20:02:10.754468+00:00,2026-07-28T20:02:24.766713+00:00
task_00_trial_002,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,2,2,44,True,False,success,242,242,13.289163,31,248,242,30,197.23967246470912,205.12523595243692,25.266239034735467,19.664667423599024,26.81572241708636,382.017279644647,414.99799955636263,48.936097805719236,20.434812844499596,9.24874210357666,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_002.mp4,2026-07-28T20:02:24.770197+00:00,2026-07-28T20:02:38.060077+00:00
task_00_trial_003,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,3,3,45,True,False,success,273,273,14.188299,35,280,273,34,193.25004257261753,200.69836881011724,24.775646483668915,18.42871479580909,22.914779558777806,366.909746453166,401.0229228064418,47.039711083739235,21.258633970345148,9.248741149902344,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_003.mp4,2026-07-28T20:02:38.070275+00:00,2026-07-28T20:02:52.259183+00:00
task_00_trial_004,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,4,4,46,True,False,success,340,340,17.47555,43,344,340,42,192.76046986843264,199.16952345520258,24.378530012772362,19.01771106812007,24.26449414342642,373.21517889409563,415.8888153731823,47.200743213076805,21.18610708068159,9.248741149902344,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_004.mp4,2026-07-28T20:02:52.261144+00:00,2026-07-28T20:03:09.737527+00:00
task_00_trial_005,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,5,5,47,True,False,success,257,257,13.932703,33,264,257,32,200.25216539700827,246.79024368524549,25.713313066541918,19.187260687293247,24.560043215751648,380.81657655085576,471.028346568346,48.898626561004825,20.450472136521512,9.24874210357666,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_005.mp4,2026-07-28T20:03:09.744483+00:00,2026-07-28T20:03:23.677981+00:00
task_00_trial_006,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,6,6,48,True,False,success,343,343,17.4845,43,344,343,42,192.5474296129027,199.3362044915557,24.13859904768168,17.949916346340764,22.46791236102581,366.4696186694295,395.3181244432926,45.9422554017069,21.76645424253261,9.248741149902344,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_006.mp4,2026-07-28T20:03:23.679977+00:00,2026-07-28T20:03:41.165231+00:00
task_00_trial_007,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,7,7,49,True,False,success,234,234,12.644878,30,240,234,29,195.31703473379216,202.00713155791163,25.0406454786913,18.277575954412804,22.877560183405876,368.1860351314147,401.36115336790675,47.20333783736086,21.184942544645907,9.248741626739502,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_007.mp4,2026-07-28T20:03:41.166964+00:00,2026-07-28T20:03:53.812475+00:00
task_00_trial_008,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,8,8,50,True,False,success,247,247,13.415664,31,248,247,30,198.7817571648667,206.35873917490244,24.948317700853714,19.644799351933514,25.27363020926714,386.7698196441896,415.83372186869383,48.54196116991854,20.600733384041767,9.248741626739502,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_008.mp4,2026-07-28T20:03:53.814778+00:00,2026-07-28T20:04:07.231089+00:00
task_00_trial_009,df_06_01_lora_oft_int8_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT INT8 Language Model,bitsandbytes,llm_int8,True,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,9,9,51,True,False,success,260,260,14.018333,33,264,260,32,198.26834767379543,204.70647029578686,25.1648287432125,19.321709520255144,24.436878692358732,381.6663527466131,419.79189328849316,48.44226784860859,20.64312932510081,9.248741626739502,9.66796875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_00_trial_009.mp4,2026-07-28T20:04:07.233212+00:00,2026-07-28T20:04:21.252307+00:00
