rollout_id,model_variant,quantization_method,task_name,trial_index,automatic_failure_reason,failure_detail,manual_failure_reason,manual_failure_note,episode_steps,zero_equivalent_arm_action_count,zero_equivalent_full_noop_count,repeated_action_count,repeated_chunk_count,last_action,video_path,timestamp
task_01_trial_022,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,22,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[0.03309960290789604, -0.0591953843832016, -0.03930489718914032, 0.004488704726099968, 0.001753889606334269, 0.031462203711271286, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_01_trial_022.mp4,2026-07-28T20:20:14.592585+00:00
task_01_trial_041,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,41,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[0.006260916590690613, -0.2256382554769516, -0.2482648640871048, 0.0021031019277870655, -0.01042131707072258, 0.018969228491187096, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_01_trial_041.mp4,2026-07-28T20:24:44.177773+00:00
task_01_trial_042,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,42,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[0.026477068662643433, -0.01639578863978386, 0.10953761637210846, 0.001625981298275292, -0.0008632108219899237, -0.006347412709146738, 1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_01_trial_042.mp4,2026-07-28T20:25:11.460320+00:00
task_03_trial_013,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,13,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[-0.19380927085876465, 0.6715680956840515, -0.1238839253783226, 0.008663509972393513, -0.013455635868012905, 0.08418989926576614, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_03_trial_013.mp4,2026-07-28T20:38:57.281074+00:00
task_04_trial_003,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,3,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[-0.11712732166051865, 0.018378883600234985, -0.3079676926136017, 0.005085105542093515, 0.0325143001973629, -0.01986921764910221, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_04_trial_003.mp4,2026-07-28T20:47:02.347603+00:00
task_04_trial_006,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,6,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[-0.10318514704704285, -0.012631009332835674, -0.03432966023683548, 0.0010295805986970663, 0.04040353372693062, -0.011050648987293243, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_04_trial_006.mp4,2026-07-28T20:48:00.327327+00:00
task_04_trial_007,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,7,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[-0.05647886544466019, 0.2562534809112549, -0.2482648640871048, 0.0012681408552452922, 0.05390625447034836, 0.1600295901298523, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_04_trial_007.mp4,2026-07-28T20:48:26.767412+00:00
task_04_trial_023,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,23,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[0.05636560544371605, 0.020162200555205345, 0.2724766433238983, 0.00031389977084472775, 0.015446255914866924, -0.009139959700405598, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_04_trial_023.mp4,2026-07-28T20:52:24.691448+00:00
task_04_trial_034,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,34,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[-0.014303789474070072, 0.003418839070945978, -0.02437918446958065, 0.0025802224408835173, 0.0008056648075580597, -0.031333357095718384, 1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_04_trial_034.mp4,2026-07-28T20:55:15.368925+00:00
task_05_trial_007,DF-04-03 LoRA+OFT INT8 Language Model,llm_int8,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,7,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[0.009397906251251698, 0.03460210934281349, 0.01791033148765564, 0.00884243007749319, 0.0019435345893725753, 0.0029120848048478365, 1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-06-01 LoRA+OFT INT8/output/videos/task_05_trial_007.mp4,2026-07-28T21:00:32.512196+00:00
