rollout_id,run_id,model_variant,task_index,task_name,task_instruction,trial_index,initial_state_id,rollout_seed,success,timeout,termination_reason,episode_steps,steps_to_success,episode_time_seconds,inference_calls,actions_generated,actions_executed,replan_count,avg_inference_latency_ms,p95_inference_latency_ms,avg_amortized_inference_ms_per_action,avg_environment_step_latency_ms,p95_environment_step_latency_ms,avg_end_to_end_latency_ms,p95_end_to_end_latency_ms,avg_amortized_end_to_end_ms_per_action,control_frequency_hz,peak_vram_allocated_gb,peak_vram_reserved_gb,invalid_action_count,zero_equivalent_arm_action_count,zero_equivalent_full_noop_count,repeated_action_count,repeated_chunk_count,max_consecutive_zero_equivalent_actions,max_consecutive_repeated_chunks,collapse_warning_count,automatic_failure_reason,failure_detail,manual_failure_reason,manual_failure_note,video_path,started_at,finished_at
task_00_trial_000,df_05_02_lora_oft_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,0,0,42,True,False,success,267,267,14.172516,34,272,267,33,154.98648134662824,151.44675876945257,19.73610623889648,21.379207110918415,31.191021762788296,362.9214520949651,432.5489621609449,46.214716746175334,21.63812894261131,15.181959629058838,15.388671875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/videos/task_00_trial_000.mp4,2026-07-12T17:24:04.777713+00:00,2026-07-12T17:24:18.953684+00:00
task_00_trial_001,df_05_02_lora_oft_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,1,1,43,True,False,success,261,261,12.712492,33,264,261,32,133.2538046055671,146.11323177814484,16.84818219150848,20.715359291525637,29.66228313744068,332.3471253794251,371.641381457448,42.02090091004226,23.797681114471718,15.181959629058838,15.388671875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/videos/task_00_trial_001.mp4,2026-07-12T17:24:18.956036+00:00,2026-07-12T17:24:31.669328+00:00
task_00_trial_002,df_05_02_lora_oft_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,2,2,44,True,False,success,244,244,11.916721,31,248,244,30,134.38852786296798,145.75734082609415,17.073952310459045,20.91865659859337,28.951544873416424,333.6476645762882,369.8190366849303,42.38966230272514,23.590657383833705,15.181959629058838,15.388671875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/videos/task_00_trial_002.mp4,2026-07-12T17:24:31.671261+00:00,2026-07-12T17:24:43.588666+00:00
task_00_trial_003,df_05_02_lora_oft_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,3,3,45,True,False,success,267,267,12.790879,34,272,267,33,135.93151327222586,145.21987438201904,17.309630903579322,20.09270125337308,26.791743002831936,330.2902806111995,370.91064658015966,42.059436482325026,23.775877273587295,15.181959629058838,15.388671875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/videos/task_00_trial_003.mp4,2026-07-12T17:24:43.590859+00:00,2026-07-12T17:24:56.382427+00:00
task_00_trial_004,df_05_02_lora_oft_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,4,4,46,True,False,success,284,284,13.618438,36,288,284,35,135.4017993952665,149.2460430599749,17.163608374047868,20.74599801890657,29.061396699398735,334.00707453903226,384.0329353697598,42.33892494156747,23.618927532527426,15.181959629058838,15.388671875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/videos/task_00_trial_004.mp4,2026-07-12T17:24:56.384570+00:00,2026-07-12T17:25:10.003799+00:00
task_00_trial_005,df_05_02_lora_oft_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,5,5,47,True,False,success,270,270,13.150608,34,272,270,33,135.4346654980498,146.86167370527983,17.054735655309976,21.236321054123067,29.849655646830797,340.6194517498507,394.4354542531073,42.8928198499812,23.313925349219918,15.181959629058838,15.388671875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/videos/task_00_trial_005.mp4,2026-07-12T17:25:10.027926+00:00,2026-07-12T17:25:23.179400+00:00
task_00_trial_006,df_05_02_lora_oft_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,6,6,48,True,False,success,319,319,14.891631,40,320,319,39,135.07639006711543,144.15192250162363,16.937478378321682,20.083052085765104,27.11608428508042,331.9284942932427,370.8143035881221,41.621127811064916,24.026259080229718,15.181959629058838,15.388671875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/videos/task_00_trial_006.mp4,2026-07-12T17:25:23.181931+00:00,2026-07-12T17:25:38.074319+00:00
task_00_trial_007,df_05_02_lora_oft_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,7,7,49,True,False,success,250,250,12.205162,32,256,250,31,136.27368910238147,146.34712152183056,17.443032205104828,19.599460385739803,27.20002494752407,324.27365524927154,360.6858732178807,41.50702787190676,24.092305599091834,15.181959629058838,15.388671875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/videos/task_00_trial_007.mp4,2026-07-12T17:25:38.076426+00:00,2026-07-12T17:25:50.282310+00:00
task_00_trial_008,df_05_02_lora_oft_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,8,8,50,True,False,success,322,322,15.548687,41,328,322,40,134.9917876920322,145.8013392984867,17.188395327246337,20.28805443218776,26.89253222197294,331.1579011653255,358.7641939520836,42.16606816080231,23.715751636753332,15.181959629058838,15.388671875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/videos/task_00_trial_008.mp4,2026-07-12T17:25:50.283958+00:00,2026-07-12T17:26:05.833477+00:00
task_00_trial_009,df_05_02_lora_oft_libero10_seed42_best_step100000,DF-04-03 LoRA+OFT Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,9,9,51,True,False,success,274,274,13.647667,35,280,274,34,135.27372985013895,143.30773130059242,17.279491039251322,20.448126184352994,28.194835409522046,331.2179751162018,376.5409292653203,42.30886543455133,23.635708254737434,15.181959629058838,15.388671875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/videos/task_00_trial_009.mp4,2026-07-12T17:26:05.836042+00:00,2026-07-12T17:26:19.484638+00:00
