rollout_id,model_variant,task_name,trial_index,automatic_failure_reason,failure_detail,manual_failure_reason,manual_failure_note,episode_steps,zero_equivalent_arm_action_count,zero_equivalent_full_noop_count,repeated_action_count,repeated_chunk_count,last_action,video_path,timestamp
task_00_trial_018,DF-04-03 LoRA+OFT Batch12,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,18,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[-0.07320947200059891, -0.005299597047269344, -0.03432966023683548, 0.0012681408552452922, 0.005150904878973961, 0.005998583976179361, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/videos/task_00_trial_018.mp4,2026-07-12T17:28:39.676618+00:00
task_01_trial_041,DF-04-03 LoRA+OFT Batch12,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,41,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[0.12755782902240753, 0.026304734870791435, 0.21691982448101044, 0.009737030602991581, 0.0027210789266973734, 0.005557655822485685, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/videos/task_01_trial_041.mp4,2026-07-12T17:44:34.802230+00:00
task_02_trial_007,DF-04-03 LoRA+OFT Batch12,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,7,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[-0.009075473994016647, -0.01798095926642418, -0.07081472873687744, 0.0018645415548235178, -0.005869837943464518, 0.004381846636533737, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/videos/task_02_trial_007.mp4,2026-07-12T17:47:39.701654+00:00
task_02_trial_021,DF-04-03 LoRA+OFT Batch12,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,21,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[-0.018486442044377327, 0.003220692742615938, -0.11476266384124756, 0.0010295805986970663, -0.004049246199429035, 0.0639071837067604, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/videos/task_02_trial_021.mp4,2026-07-12T17:50:06.171663+00:00
task_03_trial_013,DF-04-03 LoRA+OFT Batch12,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,13,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[-0.16313649713993073, 0.6715680956840515, -0.11642107367515564, 0.005204385612159967, -0.007918003015220165, 0.08830522745847702, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/videos/task_03_trial_013.mp4,2026-07-12T17:57:15.270658+00:00
task_03_trial_029,DF-04-03 LoRA+OFT Batch12,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,29,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[-0.1575596183538437, 0.6557163596153259, -0.0011614111717790365, 0.03788714483380318, -0.0714111328125, 0.015000873245298862, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/videos/task_03_trial_029.mp4,2026-07-12T18:00:06.353883+00:00
task_04_trial_003,DF-04-03 LoRA+OFT Batch12,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,3,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[-0.05647886544466019, 0.14608415961265564, -0.1321759968996048, 0.00848458893597126, 0.01446010172367096, 0.12005207687616348, -1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/videos/task_04_trial_003.mp4,2026-07-12T18:04:36.469652+00:00
task_04_trial_023,DF-04-03 LoRA+OFT Batch12,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,23,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[0.015671884641051292, -0.001138525316491723, -0.006551251281052828, 0.0026995025109499693, 0.0014504577266052365, -0.015753885731101036, 1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/videos/task_04_trial_023.mp4,2026-07-12T18:09:11.463788+00:00
task_05_trial_005,DF-04-03 LoRA+OFT Batch12,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,5,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[0.03397098556160927, 0.03868887573480606, 0.0295192189514637, 0.018683040514588356, 0.0034227652940899134, 0.014780408702790737, 1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/videos/task_05_trial_005.mp4,2026-07-12T18:15:58.519502+00:00
task_05_trial_007,DF-04-03 LoRA+OFT Batch12,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,7,timeout,"collapse_diagnostics={""zero_equivalent_arm_action_count"":0,""zero_equivalent_full_noop_count"":0,""repeated_action_count"":0,""repeated_chunk_count"":0,""max_consecutive_zero_equivalent_actions"":0,""max_consecutive_repeated_chunks"":0}",,,520,0,0,0,0,"[0.031182551756501198, 0.04297379031777382, 0.0461033433675766, 0.016864018514752388, 0.0036313747987151146, 0.014486456289887428, 1.0]",/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/videos/task_05_trial_007.mp4,2026-07-12T18:16:26.721030+00:00
