rollout_id,run_id,model_variant,task_index,task_name,task_instruction,trial_index,initial_state_id,rollout_seed,success,timeout,termination_reason,episode_steps,steps_to_success,episode_time_seconds,inference_calls,actions_generated,actions_executed,replan_count,avg_inference_latency_ms,p95_inference_latency_ms,avg_amortized_inference_ms_per_action,avg_environment_step_latency_ms,p95_environment_step_latency_ms,avg_end_to_end_latency_ms,p95_end_to_end_latency_ms,avg_amortized_end_to_end_ms_per_action,control_frequency_hz,peak_vram_allocated_gb,peak_vram_reserved_gb,invalid_action_count,zero_equivalent_arm_action_count,zero_equivalent_full_noop_count,repeated_action_count,repeated_chunk_count,max_consecutive_zero_equivalent_actions,max_consecutive_repeated_chunks,collapse_warning_count,automatic_failure_reason,failure_detail,manual_failure_reason,manual_failure_note,video_path,started_at,finished_at
task_00_trial_000,df_05_02_lora_oft_smoke_10tasks_1trial,DF-04-03 LoRA+OFT Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,0,0,42,True,False,success,267,267,13.792195,34,272,267,33,153.0322611112805,148.96775484085083,19.487254223908376,20.672948249661076,28.241456672549244,354.0930317386108,392.21492838114494,45.090498423643325,22.177621338415882,15.181959629058838,15.388671875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/smoke_10tasks_1trial/videos/task_00_trial_000.mp4,2026-07-12T17:16:22.287245+00:00,2026-07-12T17:16:36.080274+00:00
task_01_trial_000,df_05_02_lora_oft_smoke_10tasks_1trial,DF-04-03 LoRA+OFT Batch12,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,put both the cream cheese box and the butter in the basket,0,0,1042,True,False,success,234,234,11.131913,30,240,234,29,132.17085221161446,140.89453928172588,16.944981052771084,19.40983228194408,26.57147878780961,318.92611496150494,351.67607022449374,40.887963456603195,24.457075272564232,15.182625770568848,15.388671875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/smoke_10tasks_1trial/videos/task_01_trial_000.mp4,2026-07-12T17:16:37.559551+00:00,2026-07-12T17:16:48.692109+00:00
task_02_trial_000,df_05_02_lora_oft_smoke_10tasks_1trial,DF-04-03 LoRA+OFT Batch12,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,turn on the stove and put the moka pot on it,0,0,2042,True,False,success,249,249,9.53334,32,256,249,31,131.91190036013722,141.25768216326833,16.95253337961603,13.213845441140323,20.022085681557655,268.7046878854744,295.9451211616397,34.53232936680796,28.958370846572183,15.18129301071167,15.388671875,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/smoke_10tasks_1trial/videos/task_02_trial_000.mp4,2026-07-12T17:16:50.595974+00:00,2026-07-12T17:17:00.129976+00:00
task_03_trial_000,df_05_02_lora_oft_smoke_10tasks_1trial,DF-04-03 LoRA+OFT Batch12,3,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,put the black bowl in the bottom drawer of the cabinet and close it,0,0,3042,True,False,success,219,219,9.309746,28,224,219,27,132.69462542874473,139.80385633185506,16.965522885866907,13.43717158146917,19.384773075580597,270.69952731419886,294.76389717310667,34.609985227386154,28.89339574778902,15.183571338653564,15.43359375,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/smoke_10tasks_1trial/videos/task_03_trial_000.mp4,2026-07-12T17:17:01.651275+00:00,2026-07-12T17:17:10.961679+00:00
task_04_trial_000,df_05_02_lora_oft_smoke_10tasks_1trial,DF-04-03 LoRA+OFT Batch12,4,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,put the white mug on the left plate and put the yellow and white mug on the right plate,0,0,4042,True,False,success,230,230,12.978197,29,232,230,28,134.2726101906135,143.2708691805601,16.93002476316431,19.109658783544663,26.18814967572688,321.6239095119567,357.35488496720785,40.55257989498584,24.659343563087237,15.189235210418701,15.5078125,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/smoke_10tasks_1trial/videos/task_04_trial_000.mp4,2026-07-12T17:17:14.482732+00:00,2026-07-12T17:17:27.461698+00:00
task_05_trial_000,df_05_02_lora_oft_smoke_10tasks_1trial,DF-04-03 LoRA+OFT Batch12,5,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,pick up the book and place it in the back compartment of the caddy,0,0,5042,True,False,success,167,167,7.786633,21,168,167,20,136.24499720476922,149.64557252824306,17.132604438923074,11.268542031060436,17.365279793739315,260.5297380082664,276.98189578950405,32.761224539961646,30.523889568908366,15.183571338653564,15.5078125,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/smoke_10tasks_1trial/videos/task_05_trial_000.mp4,2026-07-12T17:17:29.725926+00:00,2026-07-12T17:17:37.513400+00:00
task_06_trial_000,df_05_02_lora_oft_smoke_10tasks_1trial,DF-04-03 LoRA+OFT Batch12,6,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,put the white mug on the plate and put the chocolate pudding to the right of the plate,0,0,6042,True,False,success,208,208,10.419098,26,208,208,25,133.27380327078012,142.609182279557,16.659225408847515,14.31358944123181,20.98120953887701,281.67398553341627,304.8144783824682,35.209248191677034,28.401628871938986,15.193336009979248,15.5078125,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/smoke_10tasks_1trial/videos/task_06_trial_000.mp4,2026-07-12T17:17:40.187461+00:00,2026-07-12T17:17:50.607229+00:00
task_07_trial_000,df_05_02_lora_oft_smoke_10tasks_1trial,DF-04-03 LoRA+OFT Batch12,7,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,put both the alphabet soup and the cream cheese box in the basket,0,0,7042,True,False,success,240,240,9.995214,30,240,240,29,134.8766269783179,150.1402962952852,16.859578372289736,13.877907721325755,20.137334521859884,281.7931280160944,302.78235329315066,35.2241410020118,28.38962062816197,15.182625770568848,15.5078125,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/smoke_10tasks_1trial/videos/task_07_trial_000.mp4,2026-07-12T17:17:51.988071+00:00,2026-07-12T17:18:01.983988+00:00
task_08_trial_000,df_05_02_lora_oft_smoke_10tasks_1trial,DF-04-03 LoRA+OFT Batch12,8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,put both moka pots on the stove,0,0,8042,True,False,success,378,378,14.442785,48,384,378,47,134.038630562524,143.0886186659336,17.02077848413003,14.08999337859097,20.17695978283882,278.65536701089394,298.148435074836,35.38480850931986,28.26071532184819,15.179294109344482,15.5078125,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/smoke_10tasks_1trial/videos/task_08_trial_000.mp4,2026-07-12T17:18:03.060313+00:00,2026-07-12T17:18:17.503911+00:00
task_09_trial_000,df_05_02_lora_oft_smoke_10tasks_1trial,DF-04-03 LoRA+OFT Batch12,9,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,put the yellow and white mug in the microwave and close it,0,0,9042,True,False,success,249,249,10.830619,32,256,249,31,132.10558897117153,139.22755056992173,16.977425088664614,13.772538066448936,20.334412530064583,272.7368905907497,301.0224226862192,35.050524091983895,28.530243866701596,15.182625770568848,15.5078125,0,0,0,0,0,0,0,0,,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-02 Lora+OFT/output/smoke_10tasks_1trial/videos/task_09_trial_000.mp4,2026-07-12T17:18:19.370088+00:00,2026-07-12T17:18:30.201514+00:00
